date,AWND,PRCP,SNOW,SNWD,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT08
2025-05-01T00:00:00,2.4,0.0,0.0,0.0,21.7,11.1,130.0,130.0,5.8,9.4,,,,
2025-05-02T00:00:00,1.0,0.0,0.0,0.0,28.9,13.9,230.0,240.0,6.3,10.3,1.0,,,1.0
2025-05-03T00:00:00,1.3,24.1,0.0,0.0,29.4,17.2,60.0,220.0,7.2,10.7,1.0,1.0,1.0,
2025-05-04T00:00:00,1.3,3.8,0.0,0.0,20.6,15.6,180.0,180.0,4.0,8.9,1.0,,,
2025-05-05T00:00:00,2.9,18.8,0.0,0.0,16.1,13.9,70.0,70.0,6.7,9.8,1.0,,,
2025-05-06T00:00:00,1.6,6.1,0.0,0.0,17.8,13.9,130.0,130.0,5.8,10.7,1.0,,,
2025-05-07T00:00:00,0.7,0.5,0.0,0.0,23.3,12.8,220.0,230.0,4.0,7.6,,,,
2025-05-08T00:00:00,2.1,0.0,0.0,0.0,25.6,15.6,50.0,360.0,5.4,8.9,,,,
2025-05-09T00:00:00,3.2,17.5,0.0,0.0,15.6,10.6,70.0,60.0,7.2,10.7,1.0,,,
2025-05-10T00:00:00,2.5,0.0,0.0,0.0,22.2,10.0,300.0,300.0,7.6,14.8,,,,
2025-05-11T00:00:00,1.3,0.0,0.0,0.0,25.0,14.4,300.0,290.0,5.8,9.8,,,,
2025-05-12T00:00:00,1.2,0.0,0.0,0.0,22.2,13.9,110.0,100.0,4.0,7.6,,,,
2025-05-13T00:00:00,1.4,4.1,0.0,0.0,20.6,14.4,130.0,130.0,5.4,9.4,1.0,,,
2025-05-14T00:00:00,2.8,31.0,0.0,0.0,16.7,13.3,100.0,70.0,5.8,9.4,1.0,,,
2025-05-15T00:00:00,1.8,0.0,0.0,0.0,20.6,15.0,60.0,50.0,4.5,5.8,1.0,,,1.0
2025-05-16T00:00:00,0.6,2.8,0.0,0.0,22.2,16.1,140.0,150.0,5.8,9.8,1.0,,,1.0
2025-05-17T00:00:00,1.8,0.0,0.0,0.0,27.8,17.2,300.0,290.0,7.2,13.0,1.0,,,1.0
2025-05-18T00:00:00,4.1,0.0,0.0,0.0,22.8,16.1,280.0,330.0,7.6,14.3,,,,
2025-05-19T00:00:00,3.8,0.0,0.0,0.0,20.6,10.6,300.0,270.0,7.6,14.8,,,,
2025-05-20T00:00:00,2.6,0.0,0.0,0.0,19.4,9.4,40.0,10.0,6.3,10.3,,,,
2025-05-21T00:00:00,2.5,2.3,0.0,0.0,15.0,9.4,70.0,100.0,6.7,12.1,1.0,,,1.0
2025-05-22T00:00:00,3.5,22.9,0.0,0.0,10.6,8.9,50.0,30.0,7.6,11.2,1.0,,,
2025-05-23T00:00:00,0.6,6.6,0.0,0.0,17.2,8.3,280.0,280.0,5.8,9.4,1.0,,,1.0
2025-05-24T00:00:00,2.6,0.0,0.0,0.0,17.8,8.9,300.0,310.0,7.2,13.0,,,,
2025-05-25T00:00:00,2.2,0.0,0.0,0.0,18.9,11.1,270.0,290.0,5.8,10.3,,,,
2025-05-26T00:00:00,1.7,0.0,0.0,0.0,22.8,11.1,40.0,50.0,5.4,8.1,,,,
2025-05-27T00:00:00,0.9,0.0,0.0,0.0,23.3,13.9,220.0,170.0,3.1,6.3,,,,
2025-05-28T00:00:00,1.4,12.4,0.0,0.0,18.3,11.1,70.0,,4.0,,1.0,,,
2025-05-29T00:00:00,1.6,2.5,0.0,0.0,19.4,12.8,60.0,200.0,4.5,8.9,1.0,,,1.0
2025-05-30T00:00:00,1.6,0.0,0.0,0.0,23.9,16.7,230.0,250.0,4.5,8.1,1.0,,,1.0
2025-05-31T00:00:00,4.0,11.7,0.0,0.0,19.4,11.7,290.0,300.0,8.1,16.1,1.0,,,
